"식품인증업소 관리 일련번호","업소번호","업소 명","자치구 코드","자치구 명","업종 코드","업종 명","업태 코드","업태 명","업주 명","식품인증구분","식품인증 구분명","인증일자","사용여부","지도표시여부","식품인증업소 등급","지도 Y좌표","지도 X좌표","전화번호","도로명상세주소","도로명주소코드","도로명주소","허가번호","최초작성일자","최종수정일자","업소인증메뉴","교부번호","인증여부"
"9869","20190066451","활어시장","3120000","서대문구","101","일반음식점","10104","일식","성병용","04","저염실천음식점","2020-12-31","Y","Y","","37.577125","126.924802","  ","","114103112010","서울특별시 서대문구 증가로 116(1층 남가좌동)","제2020-저염-0292호","","","서더리매운탕","","Y"
"9560","19940053401","락궁","3080000","강북구","101","일반음식점","10102","중국식","김철진","04","저염실천음식점","2020-12-31","Y","Y","","37.634071","127.032068","02-986-6200","","113054124048","서울특별시 강북구 덕릉로42길 23(번동지상1층)","제2020-저염-0041호","","","짬뽕","","Y"
"10059","19800086139","홍보석","3180000","영등포구","101","일반음식점","10102","중국식","이문식","04","저염실천음식점","2020-12-31","Y","Y","","37.521019","126.923990","02-783-6622","","115602118002","서울특별시 영등포구 의사당대로 108(여의도동)","제2020-저염-0558호","","","삼선짬뽕","","Y"
"9625","20110084307","시골보쌈","3170000","금천구","101","일반음식점","10101","한식","황선덕","04","저염실천음식점","2020-12-31","Y","Y","","37.455074","126.897764","02-891-1116","","115454151326","서울특별시 금천구 시흥대로63길 33(1층 104호 시흥동)","제2020-저염-0108호","","","된장국","","Y"
"10002","20110115565","국수가게","3230000","송파구","101","일반음식점","10101","한식","지인희","04","저염실천음식점","2020-12-31","Y","Y","","37.494245","127.135122","  ","","117104169133","서울특별시 송파구 문정로13길 11-4(가락동지상1층)","제2020-저염-0501호","","","멸치국수","","Y"
"10008","20030073526","한자락왕갈비탕","3140000","양천구","101","일반음식점","10101","한식","임운경","04","저염실천음식점","2020-12-31","Y","Y","","37.519921","126.852296","02-2694-9295","","114704142380","서울특별시 양천구 중앙로43길 9(신정동)","제2020-저염-0507호","","","왕갈비탕","","Y"
"9651","20080059785","채선당","3100000","노원구","101","일반음식점","10101","한식","김정희","04","저염실천음식점","2020-12-31","Y","Y","","37.659415","127.075668","02-951-4149","","113503000004","서울특별시 노원구 덕릉로 692(중계동2층)","제2020-저염-0136호","","","샤브샤브","","Y"
"9654","19960059652","참누렁소","3100000","노원구","101","일반음식점","10101","한식","이명호","04","저염실천음식점","2020-12-31","Y","Y","","37.634885","127.070534","02-979-6400","","113504130041","서울특별시 노원구 공릉로63길 13(1층 하계동)","제2020-저염-0139호","","","갈비탕","","Y"
"9656","20040060177","중계동두부명가","3100000","노원구","101","일반음식점","10101","한식","정요선","04","저염실천음식점","2020-12-31","Y","Y","","37.648372","127.082989","02-935-8003","","113504130338","서울특별시 노원구 중계로12가길 29(수암빌딩 2지면접함층 중계동)","제2020-저염-0141호","","","청국장","","Y"
"9680","20040060091","소문난감자탕","3100000","노원구","101","일반음식점","10101","한식","김태준","04","저염실천음식점","2020-12-31","Y","Y","","37.659595","127.075609","02-3391-9174","","113503000004","서울특별시 노원구 덕릉로 694(수암약국 1층 중계동)","제2020-저염-0165호","","","감자탕","","Y"
"9688","20040060368","미스터아구","3100000","노원구","101","일반음식점","10101","한식","김은애","04","저염실천음식점","2020-12-31","Y","Y","","37.663882","127.076565","02-939-4020","","113503000004","서울특별시 노원구 덕릉로 744(금강빌딩 1층 상계동)","제2020-저염-0173호","","","미역국","","Y"
"9697","20060056543","예촌 밥상","3100000","노원구","101","일반음식점","10101","한식","박채옥","04","저염실천음식점","2020-12-31","Y","Y","","37.657000","127.065294","02-991-3211","","113504130302","서울특별시 노원구 상계로7길 1(1층 상계동)","제2020-저염-0182호","","","양평해장국","","Y"
"9759","20100091744","할머니추어탕","3190000","동작구","101","일반음식점","10101","한식","조병선","04","저염실천음식점","2020-12-31","Y","Y","","37.502409","126.934515","02-812-7075","","115903119005","서울특별시 동작구 상도로 133(상도동1층)","제2020-저염-0248호","","","추어탕","","Y"
"9588","20110076805","용추골 미궁순대(화곡점)","3150000","강서구","101","일반음식점","10101","한식","박성남","04","저염실천음식점","2020-12-31","Y","Y","","37.545412","126.844946","","","115003005069","서울특별시 강서구 화곡로 228(화곡동지상 1층)","제2020-저염-0069호","","","순대국","","Y"
"9574","19980076791","화곡정육식당","3150000","강서구","101","일반음식점","10101","한식","성시훈","04","저염실천음식점","2020-12-31","Y","Y","","37.540320","126.836572","02-2601-4288","","115003005069","서울특별시 강서구 화곡로132(2층)","제2020-저염-0055호","","","차돌된장찌개","","Y"
"9595","20050076800","세겹생고기","3150000","강서구","101","일반음식점","10101","한식","배영숙","04","저염실천음식점","2020-12-31","Y","Y","","37.537173","126.835399","02-2693-0026","","115003000009","서울특별시 강서구 가로공원로 175(1층 화곡동 1동)","제2020-저염-0076호","","","된장찌개","","Y"
"9590","20180077269","어부의딸","3150000","강서구","101","일반음식점","10101","한식","박경민","04","저염실천음식점","2020-12-31","Y","Y","","37.551876","126.850867","02-2608-2357","","115004145190","서울특별시 강서구 공항대로46길 97(유정빌딩 1층 104호 화곡동)","제2020-저염-0071호","","","백김치","","Y"
"9573","20050077168","화로구이","3150000","강서구","101","일반음식점","10101","한식","이종은","04","저염실천음식점","2020-12-31","Y","Y","","37.559047","126.838782","02-3663-3292","","115003115001","서울특별시 강서구 강서로 374(1~3층 등촌동 3동)","제2020-저염-0054호","","","된장찌개","","Y"
"9767","20010091819","두부마을","3190000","동작구","101","일반음식점","10101","한식","이창복","04","저염실천음식점","2020-12-31","Y","Y","","37.505054","126.942100","02-825-7877","","115903119005","서울특별시 동작구 상도로 210(상도동)","제2020-저염-0256호","","","황태해장국","","Y"
"9583","20030077475","주식회사 명가원설농탕","3150000","강서구","101","일반음식점","10101","한식","이훈 외 1명","04","저염실천음식점","2020-12-31","Y","Y","","37.543462","126.838164","02-2693-0055","","115003115001","서울특별시 강서구 강서로 195(1층 화곡동 3동)","제2020-저염-0064호","","","설렁탕","","Y"
"9775","20030091371","시래불고기 화풍정","3190000","동작구","101","일반음식점","10101","한식","백영자","04","저염실천음식점","2020-12-31","Y","Y","","37.499943","126.931756","02-814-3392","","115903119005","서울특별시 동작구 상도로 102(상도동)","제2020-저염-0264호","","","시래소고기보신탕","","Y"
"9786","20170091576","농실가","3190000","동작구","101","일반음식점","10101","한식","김성조","04","저염실천음식점","2020-12-31","Y","Y","","37.502436","126.935453","02-823-9088","","115903119005","서울특별시 동작구 상도로 142(2층 상도동)","제2020-저염-0275호","","","갈비탕","","Y"
"9598","20060076712","샤브미","3150000","강서구","101","일반음식점","10101","한식","김국태","04","저염실천음식점","2020-12-31","Y","Y","","37.558429","126.854830","02-3664-8383","","115003005069","서울특별시 강서구 화곡로 398(1층 등촌동 1동 홈플러스강서점)","제2020-저염-0079호","","","샤브샤브","","Y"
"9554","19840053053","본가아구찜","3080000","강북구","101","일반음식점","10101","한식","강진희","04","저염실천음식점","2020-12-31","Y","Y","","37.630669","127.023819","02-982-5728","","113054124123","서울특별시 강북구 도봉로67길 7(미아동 지상2층)","제2020-저염-0035호","","","아구탕","","Y"
"9567","20150053323","귀품찬","3080000","강북구","101","일반음식점","10101","한식","장영일","04","저염실천음식점","2020-12-31","Y","Y","","37.636451","127.023471","02-995-0092","","113053005039","서울특별시 강북구 도봉로313(수유동)","제2020-저염-0048호","","","갈비탕","","Y"
"9610","20080039310","손큰할매순대국","3040000","광진구","101","일반음식점","10101","한식","송덕미","04","저염실천음식점","2020-12-31","Y","Y","","37.550760","127.071228","02-465-8769","","112153104005","서울특별시 광진구 군자로 86(군자동)","제2020-저염-0091호","","","순대국","","Y"
"9544","20110053334","오리농장","3080000","강북구","101","일반음식점","10101","한식","이제순","04","저염실천음식점","2020-12-31","Y","Y","","37.611963","127.034721","02-945-9993","","113053005044","서울특별시 강북구 오패산로 113(미아동)","제2020-저염-0025호","","","오리탕","","Y"
"9796","20020091317","가마솥순두부(사당점)","3190000","동작구","101","일반음식점","10101","한식","백명자","04","저염실천음식점","2020-12-31","Y","","","37.477745","126.980203","02-3472-2202","","115904157052","서울특별시 동작구 남부순환로271길 20(사당동)","제2020-저염-0285호","","","순두부찌개","",""
"9810","19990066067","대가","3120000","서대문구","101","일반음식점","10101","한식","김한종","04","저염실천음식점","2020-12-31","Y","Y","","37.576657","126.924865","02-0308-2181","","114103112010","서울특별시 서대문구 증가로 111(남가좌동)","제2020-저염-0352호","","","뼈해장국","","Y"
"10382","","다래목해물손칼국수전문점","3150000","강서구","101","일반음식점","10101","한식","","14","채식음식점","2020-12-11","Y","Y","","37.551446","126.835769","02-2661-7845","","","서울 강서구 강서로47가길 27","","","","보리비빔밥(오보비건가능)","",""
"9821","19960066366","백암","3120000","서대문구","101","일반음식점","10101","한식","김영미","04","저염실천음식점","2020-12-31","Y","Y","","37.569397","126.931060","02-337-7894","","114103112010","서울특별시 서대문구 증가로 13-6(연희동)","제2020-저염-0341호","","","순대국","","Y"
"9822","20180066989","백채 김치찌개 명지대점","3120000","서대문구","101","일반음식점","10101","한식","김정수","04","저염실천음식점","2020-12-31","Y","Y","","37.577187","126.923657","  ","","114103112010","서울특별시 서대문구 증가로 123(B동 1층 남가좌동)","제2020-저염-0340호","","","돼지고기김치찌개","","Y"
"9551","20150053335","송담추어탕 미아점","3080000","강북구","101","일반음식점","10101","한식","고은영 외 1명","04","저염실천음식점","2020-12-31","Y","Y","","37.611651","127.030648","02-983-6333","","113053005039","서울특별시 강북구 도봉로 30(미아동)","제2020-저염-0032호","","","추어탕","","Y"
"10429","","등꺼비 식당","3200000","관악구","101","일반음식점","10101","한식","","14","채식음식점","2020-12-11","Y","Y","","37.4664333","126.9368634","02-882-2253","104호","","서울 관악구 대학14길 18","","","","올리브오일 야채구이(비건)곤드레밥(비건)","",""
"9547","20110053337","신수유삼계탕","3080000","강북구","101","일반음식점","10101","한식","김후연","04","저염실천음식점","2020-12-31","Y","Y","","37.633888","127.024083","02-980-8088","","113054124037","서울특별시 강북구 덕릉로28길 18(미아동)","제2020-저염-0028호","","","뼈해장국","","Y"
"9527","19850053139","하이포크 박가네","3080000","강북구","101","일반음식점","10101","한식","김은희","04","저염실천음식점","2020-12-31","Y","Y","","37.631921","127.024867","02-982-2929","","113054124037","서울특별시 강북구 덕릉로28길 63(미아동 지상1.2.3층)","제2020-저염-0008호","","","된장찌개","","Y"
"9526","20120053148","한옥숯불갈비","3080000","강북구","101","일반음식점","10101","한식","최기범","04","저염실천음식점","2020-12-31","Y","Y","","37.612140","127.035342","02-988-6566","","113053107018","서울특별시 강북구 월계로 53-3(미아동)","제2020-저염-0007호","","","된장찌개","","Y"
"9525","19970053554","향촌숯불구이전문점","3080000","강북구","101","일반음식점","10101","한식","이종환","04","저염실천음식점","2020-12-31","Y","Y","","37.624140","127.037339","02-989-3392","","113053108004","서울특별시 강북구 오현로131(번동 지상1층)","제2020-저염-0006호","","","갈비탕","","Y"
"9524","19930053655","향촌추어탕","3080000","강북구","101","일반음식점","10101","한식","김갑선외1명","04","저염실천음식점","2020-12-31","Y","Y","","37.643776","127.023443","02-900-6494","","113054124008","서울특별시 강북구 노해로22길 7-2(수유동)","제2020-저염-0005호","","","추어탕","","Y"
"9833","20060066252","신돈","3120000","서대문구","101","일반음식점","10101","한식","이영임","04","저염실천음식점","2020-12-31","Y","Y","","37.577010","126.924996","02-309-5373","","114103112010","서울특별시 서대문구 증가로 114(남가좌동지상1층)","제2020-저염-0329호","","","된장찌개","","Y"
"9856","19870066104","청춘족발","3120000","서대문구","101","일반음식점","10101","한식","이현수","04","저염실천음식점","2020-12-31","Y","Y","","37.568872","126.931712","02-333-6355","","114103112010","서울특별시 서대문구 증가로 5(연희동)","제2020-저염-0305호","","","칼국수","","Y"
"9861","20050066752","한솔숯불식당 ","3120000","서대문구","101","일반음식점","10101","한식","임동선","04","저염실천음식점","2020-12-31","Y","Y","","37.580597","126.912366","02-309-8264","","114104136341","서울특별시 서대문구 증가로23나길 32(북가좌동지상1층)","제2020-저염-0300호","","","된장찌개","","Y"
"10279","19850066018","마포갈비","3120000","서대문구","101","일반음식점","10101","한식","조복현","04","저염실천음식점","2020-12-31","Y","Y","","37.574993","126.927119","02-337-8203","","114103112010","서울특별시 서대문구 증가로 84(1층 105호 연희동)","제2020-저염-0785호","","","호박두부된장찌개","","Y"
"9624","19910084082","신안식당","3170000","금천구","101","일반음식점","10101","한식","장연옥","04","저염실천음식점","2020-12-31","Y","Y","","37.472101","126.893681","","","115454151002","서울특별시 금천구 가산로3길 33(지상1층 독산동)","제2020-저염-0107호","","","오리탕","","Y"
"9603","20110077129","명가원설농탕(강서구청점)","3150000","강서구","101","일반음식점","10101","한식","김향란 외 1명","04","저염실천음식점","2020-12-31","Y","Y","","37.550105","126.847567","02-2696-3344","","115003005069","서울특별시 강서구 화곡로 283(1~2층 화곡동 6동)","제2020-저염-0084호","","","설렁탕","","Y"
"9605","19930076438","남가네설악추어탕 한모둠순대국","3150000","강서구","101","일반음식점","10101","한식","김이화","04","저염실천음식점","2020-12-31","Y","Y","","37.541185","126.841232","02-2696-6616","","115003115001","서울특별시 강서구 강서로 160(1층 화곡동 본동)","제2020-저염-0086호","","","추어탕","","Y"
"9992","19910114531","대호갈비","3230000","송파구","101","일반음식점","","","유승호","04","저염실천음식점","2020-12-31","Y","Y","","37.509475","127.079330","02-423-2500","","117103123006","서울특별시 송파구 백제고분로 83(잠실동)","제2020-저염-0491호","","","갈비탕","","Y"
"9994","20040114659","논현삼계탕","3230000","송파구","101","일반음식점","","","이상순 외 1명","04","저염실천음식점","2020-12-31","Y","Y","","37.507773","127.110026","02-418-3377","","117103123006","서울특별시 송파구 백제고분로 409(1층 송파동)","제2020-저염-0493호","","","삼계탕","","Y"
"10116","20030086601","부뚜막 청국장","3180000","영등포구","101","일반음식점","","","김강우","04","저염실천음식점","2020-12-31","Y","Y","","37.526696","126.894731","02-2672-7704","","115604154110","서울특별시 영등포구 당산로31길 17(가동 4호 당산동3가)","제2020-저염-0619호","",""," 청국장","","Y"
"9950","20070036399","신마포 갈매기(용답점)","3030000","성동구","101","일반음식점","","","이종고","04","저염실천음식점","2020-12-31","Y","Y","","37.564390","127.053786","  ","","112004109494","서울특별시 성동구 용답중앙15길 12(용답동지상1층)","제2020-저염-0446호","","","미역국","","Y"
"9966","20050114752","참설농탕","3230000","송파구","101","일반음식점","","","조영재 외 2명","04","저염실천음식점","2020-12-31","Y","Y","","37.509056","127.111775","02-414-0221","","117103123006","서울특별시 송파구 백제고분로 430(2층 송파동)","제2020-저염-0462호","","","설농탕","","Y"
"9933","20050098547","만다린","3210000","서초구","101","일반음식점","","","이봉환","04","저염실천음식점","2020-12-31","Y","Y","","37.488594","126.993862","02-596-6767","","116504163393","서울특별시 서초구 서초대로25길 17(방배동1층)","제2020-저염-0427호","","","팽이미소된장국","","Y"
"9944","20070098406","구이마마","3210000","서초구","101","일반음식점","","","문광수","04","저염실천음식점","2020-12-31","Y","Y","","37.475544","127.035653","02-575-7449","","116504163012","서울특별시 서초구 강남대로25길 59(양재동1층)","제2020-저염-0440호","","","김치찌개","","Y"
"9940","20060098236","남원골추어탕","3210000","서초구","101","일반음식점","","","박경옥","04","저염실천음식점","2020-12-31","Y","Y","","37.483917","127.038158","  ","","116504163088","서울특별시 서초구 남부순환로356길 23(양재동1층)","제2020-저염-0436호","","","추어탕","","Y"
"9939","19950098728","내고향본가","3210000","서초구","101","일반음식점","","","박말녀 외 1명","04","저염실천음식점","2020-12-31","Y","Y","","37.514578","127.016046","02-540-6331","","116503121002","서울특별시 서초구 나루터로 56(잠원동2345)","제2020-저염-0435호","","","맑은된장국","","Y"
"9938","20110099194","내고향사골순대국","3210000","서초구","101","일반음식점","","","안미란","04","저염실천음식점","2020-12-31","Y","Y","","37.505384","127.007084","  ","","116503121017","서울특별시 서초구 신반포로 194(1층 3호 반포동 서울고속버스터미날 하차장)","제2020-저염-0434호","","","순대국","","Y"
"9916","20100098861","산내골","3210000","서초구","101","일반음식점","","","김선용","04","저염실천음식점","2020-12-31","Y","Y","","37.483951","127.040136","02-571-0092","","116504163016","서울특별시 서초구 강남대로34길 76(1층 양재동","제2020-저염-0410호","","","도토리묵밥","","Y"
"9934","19990100305","램하우스 서초법원점","3210000","서초구","101","일반음식점","","","박종근","04","저염실천음식점","2020-12-31","Y","Y","","37.494175","127.012412","07-0824-0905","","116504163301","서울특별시 서초구 법원로2길 15(서초동56 202호)","제2020-저염-0428호","","","곰탕","","Y"
"9901","20160098510","수라빔","3210000","서초구","101","일반음식점","","","오행일","04","저염실천음식점","2020-12-31","Y","Y","","37.504216","127.003221","02-6282-3355","","116503121017","서울특별시 서초구 신반포로 176(1층중층 M8호 반포동 센트럴시티)","제2020-저염-0393호","","","콩나물국","","Y"
"9895","20130098160","엉터리생고기 교대역점","3210000","서초구","101","일반음식점","","","이상배 외 1명","04","저염실천음식점","2020-12-31","Y","Y","","37.495220","127.015610","  ","","116504163419","서울특별시 서초구 서초대로55길 3(1층 서초동 애니빌딩)","제2020-저염-0387호","","","김치찌개","","Y"
"10277","20190066765","돈의달인","3120000","서대문구","101","일반음식점","","","최재민","04","저염실천음식점","2020-12-31","Y","Y","","37.593396","126.941530","02-395-8295","","114103000008","서울특별시 서대문구 통일로 510(상가동 제지2층 101-A101-B102-A102-B103-A호 홍은동 북한산 더샵)","제2020-저염-0783호","","","돈육두부김치찌개","","Y"
"10276","20150066682","고미정","3120000","서대문구","101","일반음식점","","","박예나","04","저염실천음식점","2020-12-31","Y","Y","","37.572713","126.937046","02-324-0016","","114104136271","서울특별시 서대문구 연희로26길 28(12층 연희동)","제2020-저염-0782호","","","호박채된장국","","Y"
"10274","20050046838","골짝마을","3060000","중랑구","101","일반음식점","","","최안임","04","저염실천음식점","2020-12-31","Y","Y","","37.603156","127.095561","02-436-5589","","112603106007","서울특별시 중랑구 신내로 45(신내동해성빌딩202)","제2020-저염-0780호","","","삼계탕","","Y"
"10257","20030046589","봉화정육식당","3060000","중랑구","101","일반음식점","","","장윤주","04","저염실천음식점","2020-12-31","Y","Y","","37.616361","127.092694","02-3421-3535","","112603106007","서울특별시 중랑구 신내로 211(213 214호 신내동)","제2020-저염-0762호","","","김치찌개","","Y"
"9871","20040100453","황제","3210000","서초구","101","일반음식점","","","석가연","04","저염실천음식점","2020-12-31","Y","Y","","37.498660","126.997187","02-536-8820","","116504163364","서울특별시 서초구 서래로7길 19(반포동지상2층)","제2020-저염-0361호","","","짬뽕","","Y"
"9870","20130099324","효소원 순두부와 청국장 그리고 전","3210000","서초구","101","일반음식점","","","오경옥","04","저염실천음식점","2020-12-31","Y","Y","","37.481034","126.999187","02-521-6750","","116504163634","서울특별시 서초구 효령로34길 12(1층 방배동)","제2020-저염-0360호","","","청국장","","Y"
"10252","19970046303","삼웅수산직판장","3060000","중랑구","101","일반음식점","","","조해일","04","저염실천음식점","2020-12-31","Y","Y","","37.597983","127.097832","02-495-5534","","112604118478","서울특별시 중랑구 용마산로113길 31(망우동)","제2020-저염-0757호","","","매운탕","","Y"
"10250","20000046954","서해쭈꾸미","3060000","중랑구","101","일반음식점","","","김학례","04","저염실천음식점","2020-12-31","Y","Y","","37.588850","127.088917","02-2209-7892","","112603005029","서울특별시 중랑구 겸재로 191(면목동)","제2020-저염-0755호","","","북어미역국","","Y"
"10249","20140046254","소문난 고깃집","3060000","중랑구","101","일반음식점","","","백소은","04","저염실천음식점","2020-12-31","Y","Y","","37.583930","127.088830","02-2207-3346","","112604118232","서울특별시 중랑구 면목로56길 8(1층 면목동)","제2020-저염-0754호","","","버섯불고기전골","","Y"
"10228","19820046047","통큰갈비(면목점)","3060000","중랑구","101","일반음식점","","","구동은","04","저염실천음식점","2020-12-31","Y","Y","","37.588810","127.088352","02-492-9252","","112603005029","서울특별시 중랑구 겸재로 187(면목동)","제2020-저염-0733호","","","물냉면","","Y"
"10225","20150046370","한촌설렁탕","3060000","중랑구","101","일반음식점","","","김정호","04","저염실천음식점","2020-12-31","Y","Y","","37.589462","127.093439","02-435-7933","","112603106004","서울특별시 중랑구 상봉로 39(A동 1층 면목동 엠에스빌딩)","제2020-저염-0730호","","","설렁탕","","Y"
"10202","19780029055","대림정","3010000","중구","101","일반음식점","","","이헌룡","04","저염실천음식점","2020-12-31","Y","Y","","37.561684","126.994578","02-2266-2678","","111403101011","서울특별시 중구 퇴계로 205(필동2가)","제2020-저염-0707호","","","된장찌개","","Y"
"10199","20000029291","동회루(수타짜장)","3010000","중구","101","일반음식점","","","유정현 외 1명","04","저염실천음식점","2020-12-31","Y","Y","","37.561004","126.994111","02-2265-1278","","111403101011","서울특별시 중구 퇴계로 200(필동2가)","제2020-저염-0704호","","","짬뽕국물","","Y"
"9801","19990070500","경복궁서교점","3130000","마포구","101","일반음식점","","","김미애","04","저염실천음식점","2020-12-31","Y","Y","","37.557611","126.918156","02-3143-7071","","114403113019","서울특별시 마포구 월드컵북로 37(서교동)","제2020-저염-0290호","","","영양갈비탕","","Y"
"9799","20070069866","마포나루1호점","3130000","마포구","101","일반음식점","","","하영옥","04","저염실천음식점","2020-12-31","Y","Y","","37.541274","126.948944","02-711-5959","","114402113001","서울특별시 마포구 마포대로 68(도화동마포아크로타워 지하0102호)","제2020-저염-0288호","","","된장국","","Y"
"10173","19720029070","오발탄","3010000","중구","101","일반음식점","","","이헌룡","04","저염실천음식점","2020-12-31","Y","Y","","37.561684","126.994578","02-2266-2678","","111403101011","서울특별시 중구 퇴계로 205(충무로4가)","제2020-저염-0677호","","","소갈비탕","","Y"
"9953","20020115127","홈수끼","3230000","송파구","101","일반음식점","","","오희세","04","저염실천음식점","2020-12-31","Y","Y","","37.512048","127.126252","02-417-4124","","117102123002","서울특별시 송파구 위례성대로 134(1층 방이동)","제2020-저염-0449호","","","샤브샤브육수","","Y"
"9957","20140115337","할머니추어탕","3230000","송파구","101","일반음식점","","","양경자 외 2명","04","저염실천음식점","2020-12-31","Y","Y","","37.506122","127.082674","02-421-1022","","117103123006","서울특별시 송파구 백제고분로 139(극동빌딩 B동 102~104108호 잠실동)","제2020-저염-0453호","","","추어탕","","Y"
"10126","20180086101","동남집","3180000","영등포구","101","일반음식점","","","홍지혜","04","저염실천음식점","2020-12-31","Y","Y","","37.519492","126.898038","  ","","115603118009","서울특별시 영등포구 문래북로 116(트리플렉스 1층 109~110호 문래동3가)","제2020-저염-0629호","","","쇠고기곰탕","","Y"
