"area1","area2","type","NAME","addr_jibun","addr_road","telephone","latitude","longitude"
"서울특별시","강동구","관광지","암사동선사주거지","서울특별시 강동구 암사동 509 선사현대아파트","서울특별시 강동구 암사2동","","37.5517487","127.127241"
"서울특별시","강북구","관광지","창녕위궁재사","서울특별시 강북구 번동 237 번동주공아파트","서울특별시 강북구 번3동","","37.6231790","127.042745"
"서울특별시","강북구","관광지","국립4.19민주묘지","서울특별시 강북구 우이동 346 파라스파라 서울","서울특별시 강북구 우이동","","37.6630390","127.001890"
"서울특별시","강북구","관광지","대동문","서울특별시 강북구 수유동 521-57 현인요양병원","서울특별시 강북구 인수동","","37.6414330","127.010632"
"서울특별시","강서구","관광지","소악루","서울특별시 강서구 마곡동 770 LG사이언스파크","서울특별시 강서구 가양1동","","37.5694972","126.844728"
"서울특별시","강서구","관광지","허준기념관","서울특별시 강서구 가양동 1478 가양4단지아파트","서울특별시 강서구 가양2동","","37.5673721","126.851257"
"서울특별시","강서구","관광지","약사사","서울특별시 강서구 개화동 332-1 약사사","서울특별시 강서구 금낭화로17길 261","02-2664-2550","37.5831256","126.805007"
"서울특별시","강서구","관광지","양천향교","서울특별시 강서구 가양동 234 양천향교","서울특별시 강서구 양천로47나길 53","02-2659-0076","37.5728947","126.839974"
"서울특별시","강서구","관광지","궁산땅굴역사전시관","서울특별시 강서구 마곡동 산3 공중화장실","서울특별시 강서구 양천로49길 106","02-2600-6552","37.5726675","126.838365"
"서울특별시","강서구","관광지","허가바위","서울특별시 강서구 가양동 1468 영등포공업고등학교","서울특별시 강서구 허준로5길 15","02-2600-6080","37.5698356","126.850028"
"서울특별시","강서구","관광지","허준근린공원","서울특별시 강서구 가양동 1471 허준공원관리사무실","서울특별시 강서구 허준로5길 42","02-2600-4185","37.5675982","126.853729"
"서울특별시","관악구","관광지","낙성대","서울특별시 관악구 봉천동 272 서울영어마을 관악캠프","서울특별시 관악구 낙성대동","","37.4762914","126.958405"
"서울특별시","관악구","관광지","관악산야외식물원","서울특별시 관악구 신림동 233-1 서울삼성초등학교","서울특별시 관악구 대학동","","37.4706092","126.936970"
"서울특별시","광진구","관광지","동물원","서울특별시 광진구 능동 18 어린이대공원","서울특별시 광진구 능동","","37.5537792","127.080536"
"서울특별시","구로구","관광지","함양여씨묘역","서울특별시 구로구 고척동 256-7 고척2동새마을금고","서울특별시 구로구 고척2동","","37.5067114","126.858611"
"서울특별시","구로구","관광지","푸른수목원","서울특별시 구로구 천왕동 280 천왕연지타운1단지","서울특별시 구로구 오류2동","","37.4888579","126.839504"
"서울특별시","노원구","관광지","태강릉강릉(세계문화유산)","서울특별시 노원구 공릉동 747 두산힐스빌아파트","서울특별시 노원구 공릉2동","","37.6213085","127.083296"
"서울특별시","노원구","관광지","초안산조선시대분묘군","서울특별시 노원구 월계동 561 서울월계초등학교","서울특별시 노원구 월계2동","","37.6324884","127.050744"
"서울특별시","노원구","관광지","충숙공이상길묘역","서울특별시 노원구 하계동 62 B.D.117","서울특별시 노원구 하계1동","","37.6405462","127.072581"
"서울특별시","도봉구","관광지","금란조경꽃식물원","서울특별시 도봉구 방학동 273 방학3동주민센터","서울특별시 도봉구 방학3동","","37.6591579","127.028033"
"서울특별시","동대문구","관광지","홍릉","서울특별시 동대문구 청량리동 260","서울특별시 동대문구 청량리동","","37.5862511","127.047289"
"서울특별시","동작구","관광지","창빈안씨묘역","서울특별시 동작구 사당동 127 127하우스","서울특별시 동작구 사당2동","","37.4887525","126.979253"
"서울특별시","동작구","관광지","효간공이정영묘역","서울특별시 동작구 사당동 278-34 사당4동경노당","서울특별시 동작구 사당4동","","37.4809589","126.971630"
"서울특별시","마포구","관광지","천년의문","서울특별시 마포구 상암동 1732 서부도로교통사업소","서울특별시 마포구 상암동","","37.5783209","126.894689"
"서울특별시","서대문구","관광지","정우오년명반자","서울특별시 서대문구 신촌동 1-19","서울특별시 서대문구 신촌동","","37.5651616","126.939276"
"서울특별시","서대문구","관광지","독립문","서울특별시 서대문구 천연동 13-1 서울금화초등학교","서울특별시 서대문구 천연동","","37.5675017","126.958422"
"서울특별시","서초구","관광지","민들레식물원","서울특별시 서초구 내곡동 376 서울영동농협종합시설","서울특별시 서초구 내곡동","","37.4582463","127.076916"
"서울특별시","서초구","관광지","청권사","서울특별시 서초구 방배동 3279 방배 서리풀 그랑블","서울특별시 서초구 방배1동","","37.4833697","126.994491"
"서울특별시","서초구","관광지","미림식물원","서울특별시 서초구 양재동 80 상록빌딩","서울특별시 서초구 양재1동","","37.4716393","127.026728"
"서울특별시","서초구","관광지","청아식물원","서울특별시 서초구 양재동 362 삼성베스트빌","서울특별시 서초구 양재2동","","37.4706332","127.041288"
"서울특별시","성동구","관광지","곤충식물원","서울특별시 성동구 성수동1가 247-1 성수1가1동새마을금고","서울특별시 성동구 성수1가1동","","37.5420797","127.049651"
"서울특별시","성북구","관광지","의릉","서울특별시 성북구 석관동 410 래미안아트리치","서울특별시 성북구 석관동","","37.6129860","127.061400"
"서울특별시","성북구","관광지","정릉","서울특별시 성북구 정릉동 414-6 정릉2동새마을금고","서울특별시 성북구 정릉2동","","37.6044925","127.011139"
"서울특별시","송파구","관광지","백제고분군","서울특별시 송파구 방이동 129","서울특별시 송파구 방이1동","","37.5109802","127.123919"
"서울특별시","송파구","관광지","일광식물원","서울특별시 송파구 오금동 103-2 서울조경","서울특별시 송파구 오금동","","37.5029748","127.128103"
"서울특별시","송파구","관광지","제일수목원","서울특별시 송파구 방이동 89-16 서울오륜초등학교","서울특별시 송파구 오륜동","","37.5154162","127.134305"
"서울특별시","송파구","관광지","삼전도비","서울특별시 송파구 잠실동 27-12 서울잠실3동우체국","서울특별시 송파구 잠실3동","","37.5133248","127.094383"
"서울특별시","용산구","관광지","광개토대왕릉비","서울특별시 용산구 남영동 128 서울빌딩","서울특별시 용산구 남영동","","37.5430061","126.973322"
"서울특별시","용산구","관광지","고달사지쌍사자석등","서울특별시 용산구 서빙고동 37","서울특별시 용산구 서빙고동","","37.5204623","126.994638"
"서울특별시","용산구","관광지","백범김구동상","서울특별시 용산구 효창동 286 용산케이씨씨스위첸","서울특별시 용산구 효창동","","37.5424588","126.961898"
"서울특별시","용산구","관광지","남산야외식물원","서울특별시 용산구 후암동 258-8","서울특별시 용산구 후암동","","37.5486798","126.978150"
"서울특별시","동대문구","관광지","산림청과학원홍릉수목원","서울특별시 동대문구 청량리동 260","서울특별시 동대문구 청량리동","","37.5862511","127.047289"
"서울특별시","종로구","관광지","홍화문","서울특별시 종로구 사직동 262-48","서울특별시 종로구 사직동","","37.5761869","126.968846"
"서울특별시","종로구","관광지","이화장","서울특별시 종로구 이화동 9-851","서울특별시 종로구 이화동","","37.5769946","127.004338"
"서울특별시","종로구","관광지","창경궁홍화문","서울특별시 종로구 묘동 28 삼오빌딩","서울특별시 종로구 종로1.2.3.4가동","","37.5744355","126.990287"
"서울특별시","종로구","관광지","지광국사현묘탑","서울특별시 종로구 효자동 50-10 효자동다세대주택","서울특별시 종로구 청운효자동","","37.5841161","126.970649"
"서울특별시","중구","관광지","천상열차분야지도각석","서울특별시 중구 소공동 26","서울특별시 중구 소공동","","37.5638997","126.979794"
"서울특별시","중구","관광지","유관순동상","서울특별시 중구 장충동2가 190-5","서울특별시 중구 장충동","","37.5619118","127.007859"
"서울특별시","중구","관광지","남산골한옥마을","서울특별시 중구 필동1가 3-4","서울특별시 중구 필동","","37.5601640","126.995599"
"서울특별시","중구","관광지","김유신장군동상","서울특별시 중구 회현동1가 150-1","서울특별시 중구 회현동","","37.5572935","126.979356"
"서울특별시","중랑구","관광지","아차산봉수대지","서울특별시 중랑구 묵동 174-3 묵1동 주민센터","서울특별시 중랑구 묵1동","","37.6124136","127.078484"
"서울특별시","강서구","지하철역","김포공항역","서울특별시 강서구 방화동 886 김포공항역","서울특별시 강서구 하늘길77","031-8048-1790","37.5621441","126.801570"
"서울특별시","중구","지하철역","서울역","서울특별시 중구 남대문로5가 73-6 서울역 1호선","서울특별시 중구 세종대로 지하 2 (남대문로 5가)","02-6110-1331","37.5571594","126.972554"
"서울특별시","중구","지하철역","시청","서울특별시 중구 정동 5-5 시청역 1호선","서울특별시 중구 세종대로 지하 101 (정동)","02-6110-1321","37.5654385","126.976983"
"서울특별시","종로구","지하철역","종각","서울특별시 종로구 종로1가 54 종각지하철역사","서울특별시 종로구 종로 지하 55 (종로1가)","02-6110-1311","37.5702140","126.983239"
"서울특별시","종로구","지하철역","종로3가","서울특별시 종로구 종로3가 10-5 1호선 종로3가역","서울특별시 종로구 종로 지하 129 (종로3가)","02-6110-1301","37.5704266","126.992029"
"서울특별시","종로구","지하철역","종로5가","서울특별시 종로구 종로5가 82-1 1호선 종로5가역","서울특별시 종로구 종로 지하 216  (종로5가)","02-6110-1291","37.5709075","127.001916"
"서울특별시","종로구","지하철역","동대문","서울특별시 종로구 창신동 492-1 1호선 동대문역","서울특별시 종로구 종로 지하 302 (창신동)","02-6110-1281","37.5717775","127.011167"
"서울특별시","동대문구","지하철역","신설동","서울특별시 동대문구 신설동 76-5 신설동역","서울특별시 동대문구 왕산로 지하 1 (신설동)","02-6110-1261","37.5753194","127.024701"
"서울특별시","동대문구","지하철역","제기동","서울특별시 동대문구 제기동 65 제기동역","서울특별시 동대문구 왕산로 지하 93 (제기동)","02-6110-1251","37.5781967","127.034690"
"서울특별시","동대문구","지하철역","청량리","서울특별시 동대문구 전농동 620-69 청량리역","서울특별시 동대문구 왕산로 지하 205(전농동)","02-6110-1241","37.5802331","127.045085"
"서울특별시","종로구","지하철역","동묘앞","서울특별시 종로구 숭인동 117 동묘앞역","서울특별시 종로구 종로 359 (숭인동)","02-6110-1271","37.5733722","127.016751"
"서울특별시","강서구","지하철역","까치산","서울특별시 강서구 화곡동 662-5 까치산역","서울특별시 강서구 강서로 지하54(화곡동)","02-6311-5181","37.5319560","126.846611"
"서울특별시","중구","지하철역","시청","서울특별시 중구 정동 5-5 시청역 1호선","서울특별시 중구 세종대로 지하 101 (정동)","02-6110-2011","37.5654385","126.976983"
"서울특별시","중구","지하철역","을지로입구","서울특별시 중구 을지로1가 100-1 을지로입구역 2호선","서울특별시 중구 을지로 지하 42 (을지로1가)","02-6110-2021","37.5660509","126.982372"
"서울특별시","중구","지하철역","을지로3가","서울특별시 중구 을지로3가 347-3 을지로3가역 2호선","서울특별시 중구 을지로 지하 106 (을지로3가)","02-6110-2031","37.5662659","126.990308"
"서울특별시","중구","지하철역","을지로4가","서울특별시 중구 을지로4가 267-1 을지로4가역 2호선","서울특별시 중구 을지로 지하 178 (을지로4가)","02-6110-2041","37.5666369","126.997852"
"서울특별시","중구","지하철역","동대문역사문화공원","서울특별시 중구 을지로7가 112-3 동대문역사문화공원역 2호선","서울특별시 중구 을지로 지하 279 (을지로7가)","02-6110-2051","37.5655895","127.009131"
"서울특별시","중구","지하철역","신당","서울특별시 중구 신당동 99 신당역 2호선","서울특별시 중구 퇴계로 지하 431-1 (신당동)","02-6110-2061","37.5656540","127.019540"
"서울특별시","성동구","지하철역","상왕십리","서울특별시 성동구 하왕십리동 946-14 상왕십리역","서울특별시 성동구 왕십리로 지하 374 (하왕십리동)","02-6110-2071","37.5644687","127.029031"
"서울특별시","성동구","지하철역","왕십리","서울특별시 성동구 행당동 192 왕십리역","서울특별시 성동구 왕십리로 지하300(행당동)","02-6110-2081","37.5612217","127.036655"
"서울특별시","성동구","지하철역","한양대","서울특별시 성동구 행당동 산17 한양대역","서울특별시 성동구 왕십리로 206 (행당동)","02-6110-2091","37.5555778","127.043584"
"서울특별시","성동구","지하철역","뚝섬","서울특별시 성동구 성수동1가 656-745 뚝섬역","서울특별시 성동구 아차산로 18 (성수동1가)","02-6110-2101","37.5471882","127.047365"
"서울특별시","성동구","지하철역","성수","서울특별시 성동구 성수동2가 300-1 성수역","서울특별시 성동구 아차산로 100 (성수동2가)","02-6110-2111","37.5445024","127.056090"
"서울특별시","광진구","지하철역","건대입구","서울특별시 광진구 화양동 7-3 2호선 건대입구역","서울특별시 광진구 아차산로 243 (화양동)","02-6110-2121","37.5404188","127.069173"
"서울특별시","광진구","지하철역","구의","서울특별시 광진구 구의동 245-24 2호선 구의역","서울특별시 광진구 아차산로 384-1 (구의동)","02-6110-2131","37.5371535","127.086179"
"서울특별시","광진구","지하철역","강변","서울특별시 광진구 구의동 546-6 2호선 강변역","서울특별시 광진구 강변역로 53 (구의동)","02-6110-2141","37.5351692","127.094664"
"서울특별시","송파구","지하철역","잠실나루","서울특별시 송파구 신천동 15 잠실나루역","서울특별시 송파구 오금로 20 (신천동)","02-6110-2151","37.5206867","127.103811"
"서울특별시","송파구","지하철역","잠실","서울특별시 송파구 신천동 8 잠실역2호선","서울특별시 송파구 올림픽로 지하 265 (잠실동)","02-6110-2161","37.5138592","127.101857"
"서울특별시","송파구","지하철역","잠실새내","서울특별시 송파구 잠실동 33 잠실새내역","서울특별시 송파구 올림픽로 지하 140 (잠실동)","02-6110-2171","37.5115672","127.086373"
"서울특별시","송파구","지하철역","종합운동장","서울특별시 송파구 잠실동 122 종합운동장역","서울특별시 송파구 올림픽로 지하 23 (잠실동)","02-6110-2181","37.5109692","127.073356"
"서울특별시","강남구","지하철역","삼성","서울특별시 강남구 삼성동 172-66 삼성역","서울특별시 강남구 테헤란로 지하 538 (삼성동)","02-6110-2191","37.508862","127.063073"
"서울특별시","강남구","지하철역","선릉","서울특별시 강남구 삼성동 172-66 선릉역","서울특별시 강남구 테헤란로 지하 340 (삼성동)","02-6110-2201","37.5045028","127.048942"
"서울특별시","강남구","지하철역","역삼","서울특별시 강남구 역삼동 804 역삼역","서울특별시 강남구 테헤란로 지하 156 (역삼동)","02-6110-2211","37.5007162","127.036618"
"서울특별시","강남구","지하철역","강남","서울특별시 강남구 역삼동 858 강남역","서울특별시 강남구 강남대로 지하 396 (역삼동)","02-6110-2221","37.4981646","127.028307"
"서울특별시","서초구","지하철역","교대","서울특별시 서초구 서초동 1748-4 교대역","서울특별시 서초구 서초대로 지하 294 (서초동)","02-6110-2231","37.4935774","127.014155"
"서울특별시","서초구","지하철역","서초","서울특별시 서초구 서초동 1748-5 서초역","서울특별시 서초구 서초대로 지하 233 (서초동)","02-6110-2241","37.491823","127.007580"
"서울특별시","서초구","지하철역","방배","서울특별시 서초구 방배동 912-14 방배역","서울특별시 서초구 방배로 지하 80 (방배동)","02-6110-2251","37.4814364","126.997694"
"서울특별시","동작구","지하철역","사당","서울특별시 동작구 사당동 1129 사당역(2호선)","서울특별시 동작구 남부순환로 지하 2089 (사당동)","02-6110-2261","37.4765228","126.981408"
"서울특별시","관악구","지하철역","낙성대","서울특별시 관악구 봉천동 1693-39","서울특별시 관악구 남부순환로 지하 1928 (봉천동)","02-6110-2271","37.4770651","126.96341"
"서울특별시","관악구","지하철역","서울대입구","서울특별시 관악구 봉천동 979-2","서울특별시 관악구 남부순환로 지하 1822 (봉천동)","02-6110-2281","37.4811526","126.952645"
"서울특별시","관악구","지하철역","봉천","서울특별시 관악구 봉천동 979-7","서울특별시 관악구 남부순환로 지하 1721 (봉천동)","02-6110-2291","37.4825562","126.941495"
"서울특별시","관악구","지하철역","신림","서울특별시 관악구 신림동 1467-10","서울특별시 관악구 남부순환로 지하 1614 (신림동)","02-6110-2301","37.4842176","126.929803"
"서울특별시","동작구","지하철역","신대방","서울특별시 동작구 신대방동 643-1 신대방역2호선","서울특별시 동작구 대림로 2 (신대방동)","02-6110-2311","37.4875759","126.913175"
"서울특별시","구로구","지하철역","구로디지털단지","서울특별시 구로구 구로동 810-3 구로디지털단지역","서울특별시 구로구 도림천로 477 (구로동)","02-6110-2321","37.4853149","126.901494"
